ename,norm,normargu,valuefrom,modifier,name,style,comment,AddNeg
infusion,evtmax_1,NA,infusion_evt,NA,infusion_evt,multiply,taskness,FALSE
ExpRat,evtmax_1,NA,ExpRat_evt,NA,ExpRat_evt,multiply,taskness,FALSE
feedback_bl,evtmax_1,NA,feedback_bl_evt,NA,feedback_bl_evt,multiply,taskness,FALSE
feedback,evtmax_1,NA,feedback_evt,NA,feedback_evt,multiply,taskness,FALSE
MoodRat,evtmax_1,NA,MoodRat_evt,NA,MoodRat_evt,multiply,taskness,FALSE
feedback_PE,evtmax_1,NA,feedback_PE_evt,NA,feedback_PE_evt,multiply,taskness,FALSE
feedback_bl,evtmax_1,NA,oneLR_fixD_oneK_value_preupdate,NA,TDS_EV_flat,multiply,parametric,TRUE
TD_error,evtmax_1,NA,oneLR_fixD_oneK_PE,NA,TDS_PE_up,multiply,parametric,TRUE
