ename,norm,normargu,valuefrom,modifier,name,style,comment
infusion_whole,none,NA,infusion_whole_evt,NA,inf_evt,subset,taskness
infusion_whole,none,NA,plac_ctrl_bin,NA,inf_noinf,subset,taskness
feedback_whole,none,NA,feedback_whole_evt,NA,fb_evt,subset,taskness
feedback_whole,none,NA,signal_baseline_bin,NA,fb_nofb,subset,taskness
feedback_whole,none,NA,true_plac,NA,true_plac,subset,taskness
infusion_whole,none,NA,ExpRat_Miss,NA,ExpRat_Miss,subset,taskness
feedback_whole,none,NA,MoodRat_Miss,NA,MoodRat_Miss,subset,taskness
